"subject" "activity" "variable" "mean"
1 "laying" "tbodyaccmeanx" 0.22159824394
1 "laying" "tbodyaccmeany" -0.0405139534294
1 "laying" "tbodyaccmeanz" -0.11320355358
1 "laying" "tbodyaccstdx" -0.9280564692
1 "laying" "tbodyaccstdy" -0.83682740562
1 "laying" "tbodyaccstdz" -0.826061401628
1 "laying" "tgravityaccmeanx" -0.24888179828
1 "laying" "tgravityaccmeany" 0.70554977346
1 "laying" "tgravityaccmeanz" 0.4458177198
1 "laying" "tgravityaccstdx" -0.8968300184
1 "laying" "tgravityaccstdy" -0.90772000676
1 "laying" "tgravityaccstdz" -0.85236629022
1 "laying" "tbodyaccjerkmeanx" 0.0810865342
1 "laying" "tbodyaccjerkmeany" 0.0038382040088
1 "laying" "tbodyaccjerkmeanz" 0.010834236361
1 "laying" "tbodyaccjerkstdx" -0.958482112
1 "laying" "tbodyaccjerkstdy" -0.9241492736
1 "laying" "tbodyaccjerkstdz" -0.9548551108
1 "laying" "tbodygyromeanx" -0.016553093978
1 "laying" "tbodygyromeany" -0.064486124088
1 "laying" "tbodygyromeanz" 0.14868943626
1 "laying" "tbodygyrostdx" -0.87354386782
1 "laying" "tbodygyrostdy" -0.9510904402
1 "laying" "tbodygyrostdz" -0.9082846626
1 "laying" "tbodygyrojerkmeanx" -0.107270949192
1 "laying" "tbodygyrojerkmeany" -0.04151728689
1 "laying" "tbodygyrojerkmeanz" -0.0740501211
1 "laying" "tbodygyrojerkstdx" -0.9186085208
1 "laying" "tbodygyrojerkstdy" -0.9679072436
1 "laying" "tbodygyrojerkstdz" -0.9577901596
1 "laying" "tbodyaccmagmean" -0.8419291525
1 "laying" "tbodyaccmagstd" -0.79514486386
1 "laying" "tgravityaccmagmean" -0.8419291525
1 "laying" "tgravityaccmagstd" -0.79514486386
1 "laying" "tbodyaccjerkmagmean" -0.9543962646
1 "laying" "tbodyaccjerkmagstd" -0.9282456284
1 "laying" "tbodygyromagmean" -0.874759548
1 "laying" "tbodygyromagstd" -0.81901016976
1 "laying" "tbodygyrojerkmagmean" -0.96346103
1 "laying" "tbodygyrojerkmagstd" -0.9358409828
1 "laying" "fbodyaccmeanx" -0.9390990524
1 "laying" "fbodyaccmeany" -0.86706520518
1 "laying" "fbodyaccmeanz" -0.8826668762
1 "laying" "fbodyaccstdx" -0.9244374346
1 "laying" "fbodyaccstdy" -0.8336255561
1 "laying" "fbodyaccstdz" -0.81289155944
1 "laying" "fbodyaccjerkmeanx" -0.9570738838
1 "laying" "fbodyaccjerkmeany" -0.9224626098
1 "laying" "fbodyaccjerkmeanz" -0.9480609042
1 "laying" "fbodyaccjerkstdx" -0.9641607086
1 "laying" "fbodyaccjerkstdy" -0.9322178704
1 "laying" "fbodyaccjerkstdz" -0.9605869872
1 "laying" "fbodygyromeanx" -0.850249174586
1 "laying" "fbodygyromeany" -0.9521914948
1 "laying" "fbodygyromeanz" -0.909302721
1 "laying" "fbodygyrostdx" -0.8822964508
1 "laying" "fbodygyrostdy" -0.9512320494
1 "laying" "fbodygyrostdz" -0.9165825082
1 "laying" "fbodyaccmagmean" -0.8617676481
1 "laying" "fbodyaccmagstd" -0.7983009404
1 "laying" "fbodybodyaccjerkmagmean" -0.9333003608
1 "laying" "fbodybodyaccjerkmagstd" -0.9218039756
1 "laying" "fbodybodygyromagmean" -0.8621901854
1 "laying" "fbodybodygyromagstd" -0.82431943968
1 "laying" "fbodybodygyrojerkmagmean" -0.9423669466
1 "laying" "fbodybodygyrojerkmagstd" -0.9326606676
1 "sitting" "tbodyaccmeanx" 0.261237565425532
1 "sitting" "tbodyaccmeany" -0.00130828765170213
1 "sitting" "tbodyaccmeanz" -0.104544182255319
1 "sitting" "tbodyaccstdx" -0.977229008297872
1 "sitting" "tbodyaccstdy" -0.922618641914894
1 "sitting" "tbodyaccstdz" -0.93958629106383
1 "sitting" "tgravityaccmeanx" 0.831509933404255
1 "sitting" "tgravityaccmeany" 0.204411592680851
1 "sitting" "tgravityaccmeanz" 0.332043702765957
1 "sitting" "tgravityaccstdx" -0.968457145744681
1 "sitting" "tgravityaccstdy" -0.935517055957447
1 "sitting" "tgravityaccstdz" -0.949040933191489
1 "sitting" "tbodyaccjerkmeanx" 0.0774825199574468
1 "sitting" "tbodyaccjerkmeany" -0.000619102785106384
1 "sitting" "tbodyaccjerkmeanz" -0.00336779235021277
1 "sitting" "tbodyaccjerkstdx" -0.986430711276596
1 "sitting" "tbodyaccjerkstdy" -0.981371965319149
1 "sitting" "tbodyaccjerkstdz" -0.987910804468085
1 "sitting" "tbodygyromeanx" -0.045350056512766
1 "sitting" "tbodygyromeany" -0.0919241549361702
1 "sitting" "tbodygyromeanz" 0.0629313811914894
1 "sitting" "tbodygyrostdx" -0.977211283191489
1 "sitting" "tbodygyrostdy" -0.966473895319149
1 "sitting" "tbodygyrostdz" -0.941425920851064
1 "sitting" "tbodygyrojerkmeanx" -0.0936793807234043
1 "sitting" "tbodygyrojerkmeany" -0.0402118124255319
1 "sitting" "tbodygyrojerkmeanz" -0.046702627
1 "sitting" "tbodygyrojerkstdx" -0.99173159212766
1 "sitting" "tbodygyrojerkstdy" -0.989518068510638
1 "sitting" "tbodygyrojerkstdz" -0.987935806382979
1 "sitting" "tbodyaccmagmean" -0.948536786170213
1 "sitting" "tbodyaccmagstd" -0.927078418723404
1 "sitting" "tgravityaccmagmean" -0.948536786170213
1 "sitting" "tgravityaccmagstd" -0.927078418723404
1 "sitting" "tbodyaccjerkmagmean" -0.987364195531915
1 "sitting" "tbodyaccjerkmagstd" -0.984120024042553
1 "sitting" "tbodygyromagmean" -0.93089249
1 "sitting" "tbodygyromagstd" -0.934531840425532
1 "sitting" "tbodygyrojerkmagmean" -0.991976341276596
1 "sitting" "tbodygyrojerkmagstd" -0.988308728510638
1 "sitting" "fbodyaccmeanx" -0.979641238723404
1 "sitting" "fbodyaccmeany" -0.944084550425532
1 "sitting" "fbodyaccmeanz" -0.959184889148936
1 "sitting" "fbodyaccstdx" -0.976412313191489
1 "sitting" "fbodyaccstdy" -0.917275006382979
1 "sitting" "fbodyaccstdz" -0.934469558085106
1 "sitting" "fbodyaccjerkmeanx" -0.986597022553191
1 "sitting" "fbodyaccjerkmeany" -0.981579467021277
1 "sitting" "fbodyaccjerkmeanz" -0.986053092340425
1 "sitting" "fbodyaccjerkstdx" -0.987492994468085
1 "sitting" "fbodyaccjerkstdy" -0.982513909574468
1 "sitting" "fbodyaccjerkstdz" -0.988339184893617
1 "sitting" "fbodygyromeanx" -0.976161464042553
1 "sitting" "fbodygyromeany" -0.975838585319149
1 "sitting" "fbodygyromeanz" -0.951315544468085
1 "sitting" "fbodygyrostdx" -0.977904227021277
1 "sitting" "fbodygyrostdy" -0.962345042553192
1 "sitting" "fbodygyrostdz" -0.94391784106383
1 "sitting" "fbodyaccmagmean" -0.947782922553192
1 "sitting" "fbodyaccmagstd" -0.928444801702128
1 "sitting" "fbodybodyaccjerkmagmean" -0.985262126808511
1 "sitting" "fbodybodyaccjerkmagstd" -0.981606177446808
1 "sitting" "fbodybodygyromagmean" -0.958435589361702
1 "sitting" "fbodybodygyromagstd" -0.932198374893617
1 "sitting" "fbodybodygyrojerkmagmean" -0.989797547234043
1 "sitting" "fbodybodygyrojerkmagstd" -0.987049617234043
1 "standing" "tbodyaccmeanx" 0.278917629056604
1 "standing" "tbodyaccmeany" -0.0161375901037736
1 "standing" "tbodyaccmeanz" -0.110601817735849
1 "standing" "tbodyaccstdx" -0.995759901509434
1 "standing" "tbodyaccstdy" -0.973190056415094
1 "standing" "tbodyaccstdz" -0.979775876981132
1 "standing" "tgravityaccmeanx" 0.942952000377358
1 "standing" "tgravityaccmeany" -0.272983832264151
1 "standing" "tgravityaccmeanz" 0.0134905823226415
1 "standing" "tgravityaccstdx" -0.99376298509434
1 "standing" "tgravityaccstdy" -0.981225957924528
1 "standing" "tgravityaccstdz" -0.976324063584906
1 "standing" "tbodyaccjerkmeanx" 0.0753766542264151
1 "standing" "tbodyaccjerkmeany" 0.00797573092830189
1 "standing" "tbodyaccjerkmeanz" -0.00368524954709434
1 "standing" "tbodyaccjerkstdx" -0.994604542264151
1 "standing" "tbodyaccjerkstdy" -0.98564873245283
1 "standing" "tbodyaccjerkstdz" -0.992251177358491
1 "standing" "tbodygyromeanx" -0.0239877347979245
1 "standing" "tbodygyromeany" -0.0593972209811321
1 "standing" "tbodygyromeanz" 0.074800751
1 "standing" "tbodygyrostdx" -0.987191946603774
1 "standing" "tbodygyrostdy" -0.98773444
1 "standing" "tbodygyrostdz" -0.980645626981132
1 "standing" "tbodygyrojerkmeanx" -0.0996092129056604
1 "standing" "tbodygyrojerkmeany" -0.0440627877924528
1 "standing" "tbodygyrojerkmeanz" -0.0489505466716981
1 "standing" "tbodygyrojerkstdx" -0.992945106981132
1 "standing" "tbodygyrojerkstdy" -0.995137917358491
1 "standing" "tbodygyrojerkstdz" -0.992108467169811
1 "standing" "tbodyaccmagmean" -0.984278207358491
1 "standing" "tbodyaccmagstd" -0.981942928867925
1 "standing" "tgravityaccmagmean" -0.984278207358491
1 "standing" "tgravityaccmagstd" -0.981942928867925
1 "standing" "tbodyaccjerkmagmean" -0.992367790566038
1 "standing" "tbodyaccjerkmagstd" -0.993096209433962
1 "standing" "tbodygyromagmean" -0.976493792830189
1 "standing" "tbodygyromagstd" -0.978690028679245
1 "standing" "tbodygyrojerkmagmean" -0.994966790566038
1 "standing" "tbodygyrojerkmagstd" -0.994733238679245
1 "standing" "fbodyaccmeanx" -0.995249932641509
1 "standing" "fbodyaccmeany" -0.977070847735849
1 "standing" "fbodyaccmeanz" -0.985297098679245
1 "standing" "fbodyaccstdx" -0.99602834509434
1 "standing" "fbodyaccstdy" -0.972293102075472
1 "standing" "fbodyaccstdz" -0.977937259622642
1 "standing" "fbodyaccjerkmeanx" -0.994630797358491
1 "standing" "fbodyaccjerkmeany" -0.985418704528302
1 "standing" "fbodyaccjerkmeanz" -0.990752166037736
1 "standing" "fbodyaccjerkstdx" -0.995073759245283
1 "standing" "fbodyaccjerkstdy" -0.987018226792453
1 "standing" "fbodyaccjerkstdz" -0.992349818113208
1 "standing" "fbodygyromeanx" -0.986386786037736
1 "standing" "fbodygyromeany" -0.988984455849057
1 "standing" "fbodygyromeanz" -0.980773122830189
1 "standing" "fbodygyrostdx" -0.987497128679245
1 "standing" "fbodygyrostdy" -0.987107727735849
1 "standing" "fbodygyrostdz" -0.98234533
1 "standing" "fbodyaccmagmean" -0.985356361132075
1 "standing" "fbodyaccmagstd" -0.982313804716981
1 "standing" "fbodybodyaccjerkmagmean" -0.99254247754717
1 "standing" "fbodybodyaccjerkmagstd" -0.992536003396226
1 "standing" "fbodybodygyromagmean" -0.984617623396226
1 "standing" "fbodybodygyromagstd" -0.978466072075472
1 "standing" "fbodybodygyrojerkmagmean" -0.994815376981132
1 "standing" "fbodybodygyrojerkmagstd" -0.994671123207547
1 "walking" "tbodyaccmeanx" 0.277330758736842
1 "walking" "tbodyaccmeany" -0.0173838185273684
1 "walking" "tbodyaccmeanz" -0.111148103547368
1 "walking" "tbodyaccstdx" -0.283740258842105
1 "walking" "tbodyaccstdy" 0.114461336747368
1 "walking" "tbodyaccstdz" -0.260027902210526
1 "walking" "tgravityaccmeanx" 0.935223201473684
1 "walking" "tgravityaccmeany" -0.282165021263158
1 "walking" "tgravityaccmeanz" -0.068102864
1 "walking" "tgravityaccstdx" -0.976609642526316
1 "walking" "tgravityaccstdy" -0.971305961473684
1 "walking" "tgravityaccstdz" -0.947717226105263
1 "walking" "tbodyaccjerkmeanx" 0.0740416333157895
1 "walking" "tbodyaccjerkmeany" 0.0282721095884211
1 "walking" "tbodyaccjerkmeanz" -0.00416840617789474
1 "walking" "tbodyaccjerkstdx" -0.113615602435789
1 "walking" "tbodyaccjerkstdy" 0.0670025007684211
1 "walking" "tbodyaccjerkstdz" -0.502699788526316
1 "walking" "tbodygyromeanx" -0.041830963526
1 "walking" "tbodygyromeany" -0.0695300462115789
1 "walking" "tbodygyromeanz" 0.0849448173042105
1 "walking" "tbodygyrostdx" -0.473535485894737
1 "walking" "tbodygyrostdy" -0.0546077686594737
1 "walking" "tbodygyrostdz" -0.344266629473684
1 "walking" "tbodygyrojerkmeanx" -0.0899975423705263
1 "walking" "tbodygyrojerkmeany" -0.0398428709463158
1 "walking" "tbodygyrojerkmeanz" -0.0461309295021053
1 "walking" "tbodygyrojerkstdx" -0.207421854757895
1 "walking" "tbodygyrojerkstdy" -0.304468510631579
1 "walking" "tbodygyrojerkstdz" -0.404255452631579
1 "walking" "tbodyaccmagmean" -0.136971176556842
1 "walking" "tbodyaccmagstd" -0.219688645631579
1 "walking" "tgravityaccmagmean" -0.136971176556842
1 "walking" "tgravityaccmagstd" -0.219688645631579
1 "walking" "tbodyaccjerkmagmean" -0.141428809031579
1 "walking" "tbodyaccjerkmagstd" -0.0744717500625263
1 "walking" "tbodygyromagmean" -0.160979552536842
1 "walking" "tbodygyromagstd" -0.186978364526316
1 "walking" "tbodygyrojerkmagmean" -0.298703679084211
1 "walking" "tbodygyrojerkmagstd" -0.325324878894737
1 "walking" "fbodyaccmeanx" -0.202794306326316
1 "walking" "fbodyaccmeany" 0.0897127264021053
1 "walking" "fbodyaccmeanz" -0.331560117789474
1 "walking" "fbodyaccstdx" -0.319134719578947
1 "walking" "fbodyaccstdy" 0.056040006846
1 "walking" "fbodyaccstdz" -0.279686751494737
1 "walking" "fbodyaccjerkmeanx" -0.170546964549579
1 "walking" "fbodyaccjerkmeany" -0.0352255241130632
1 "walking" "fbodyaccjerkmeanz" -0.468999224631579
1 "walking" "fbodyaccjerkstdx" -0.133586606326316
1 "walking" "fbodyaccjerkstdy" 0.106739857136
1 "walking" "fbodyaccjerkstdz" -0.534713440421053
1 "walking" "fbodygyromeanx" -0.339032197115789
1 "walking" "fbodygyromeany" -0.103059416434737
1 "walking" "fbodygyromeanz" -0.255940940315789
1 "walking" "fbodygyrostdx" -0.516691938736842
